name,street,city,province,country,address_dump,postal_code,phone,hours,link,products,products_grown,products_pick
Allison's Farm Market,"RR 2, 10636 8th Line",Georgetown,Ontario,Canada,"",L7G 4S5,905-873-9810,"July 1 - Oct 31, 10 am - 6 pm","","apples, pumpkins, raspberries, strawberries","",""
Andrew's Scenic Acres & Scotch Block Winery,9365 10th Sideroad,Milton,Ontario,Canada,"",L9T 2X9,905-878-5807,Nov 1 - Apr 30: Sat & Sun 11-5; May 1 - Aug 31: 8-6; Sept 1 - Oct 31: 9-6,http://www.andrewsscenicacres.com,"asparagus, blueberries, pumpkins, raspberries, strawberries, wine","asparagus, blueberries, pumpkins, raspberries, strawberries","asparagus, blueberries, pumpkins, raspberries, strawberries"
Archibald Orchards & Estate Winery,"RR 5, 6275 Liberty St.N.",Bowmanville,Ontario,Canada,"",L1C 3K6,905-263-2396,March to June - Thursday to Sunday from 10 - 5; July & August - Daily 10 - 5; September to December - Daily 9 - 6,http://www.archibaldswinery.com,"apples, giftware, preserves, wine",apples,apples
Three Roads Farms Ltd.,2415 County Road #2,Peterborough,Ontario,Canada,"",K9J 6X9,705-295-6580,Monday - Saturday: 9am - 6pm; Sunday: 10am - 6pm,http://www.threeroadsfarms.com,"","",""
Matz Fruit Barn,Norfolk 6,525 Hwy 6,"","",525 Hwy 6,"Port Dover,  
		Ontario,  
		Canada",519-583-1688,8am - 7:30pm,http://matzfruitbarn.com,"gourds, pumpkins, squash, vegetables","apples, apricots, cherries, cucumbers, gourds, muskmelons, peaches, pears, peppers, plums, pumpkins, squash, tomatoes, watermelons",""
Belluz Farms,752 Candy Mountain Drive,Slate River,Ontario,Canada,"",P7J 0C2,807-475-5181,July - October. Call for hours 807-475-5181,http://www.belluzfarms.on.ca,"beans, cucumbers, gooseberries, melons, peas, pumpkins, raspberries, squash, strawberries","beans, cucumbers, gooseberries, peas, raspberries, strawberries",Maze
Bennett's Apples & Cider,944 Garner Road East,Ancaster,Ontario,Canada,"",L9G 3K9,905-648-6878,Year round. Closed Sundays & some holidays.,http://www.bennettsapples.ca,"apples, cider",pumpkins,pumpkins
Bickles Orchard Park Farms,596633 County Road #59,Woodstock,Ontario,Canada,"",N4S 7W1,519-462-2947,"Open Sept to April, Mon - Sat 9-5","",apples,apples,""
Blyleven Farms,"1028 Hutchson Rd., RR 1",Lowbanks,Ontario,Canada,"",N0A 1K0,905-774-7391,"","","peppers, tomatoes","",""
Lincoln Line Orchards,"9764 Reg. Rd. 20, RR 1",Smithville,Ontario,Canada,"",L0R 2A0,905-643-2205,August through June (11 months): Tues. - Fri: 8 am - 6 pm; Sat: 8 am - 5 pm,http://www.lincolnlineorchards.com,"apples, cider, peaches, pears, pies, plums","",""
Brooks Farms,"122 Ashworth Rd, RR 3",Mount Albert,Ontario,Canada,"",L0G 1M0,905-473-3920,Call for hours,http://www.brooksfarms.com,"raspberries, strawberries","asparagus, pumpkins, squash, strawberries","apples, peas, pumpkins, raspberries, strawberries"
Burnham Family Farm Market,7760 County Rd 2,R.R. #4,"","",R.R. #4,"Cobourg,  
		Ontario,  
		Canada",905-373-4578,June 1 - Dec 23: 9 am - 6 pm,http://www.burnhamfamilyfarmmarket.ca,"pies, vegetables","apples, raspberries, strawberries","apples, raspberries, strawberries"
Campbell's Orchard,1633 County Rd. #3,Rednersville,Ontario,Canada,"",K0K 1L0,613-962-3751,"Summer & Fall : Open 7 days/week from mid June until Christmas, 9am til 5:30pm. We close at 5:00 pm in November. Winter & Spring : January til mid June: Open Thursday until Saturday 9am til 5pm, Sunday’s we open at 10:00am., and closed Monday, Tuesday, Wednesday.",http://www.campbellsorchards.com,"eggs, fudge, pears, raspberries, strawberries","apples, beans, cabbage, cauliflower, corn, cucumbers, melons, onions, pears, peas, peppers, pumpkins, raspberries, rutabaga, squash, strawberries, tomatoes","apples, beans, peas, pumpkins, strawberries, tomatoes"
Lakeshore Farms,"475 Main St., RR 1",Wellington,Ontario,Canada,"",K0K 3L0,613-399-3152,April - December: Daily 8 am - 6 pm,"","potatoes, pumpkins, strawberries, tomatoes, vegetables","pumpkins, strawberries, tomatoes","pumpkins, strawberries, tomatoes"
