name,postal_code,phone,hours,link,products,products_grown,products_pick,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,lat,lng
Allison's Farm Market,L7G 4S5,905-873-9810,"July 1 - Oct 31, 10 am - 6 pm",,"apples, pumpkins, raspberries, strawberries",,,"10636 8 Line, Halton Hills, ON L7G, Canada",10636,8 Line,Halton Hills,Halton Regional Municipality,Ontario,Canada,43.6294338,-79.8993055
Andrew's Scenic Acres & Scotch Block Winery,L9T 2X9,905-878-5807,Nov 1 - Apr 30: Sat & Sun 11-5; May 1 - Aug 31: 8-6; Sept 1 - Oct 31: 9-6,http://www.andrewsscenicacres.com,"asparagus, blueberries, pumpkins, raspberries, strawberries, wine","asparagus, blueberries, pumpkins, raspberries, strawberries","asparagus, blueberries, pumpkins, raspberries, strawberries","9365 10 Side Rd, Milton, ON L9T 2X9, Canada",9365,10 Side Road,Milton,Halton Regional Municipality,Ontario,Canada,43.573699,-79.9340088
Archibald Orchards & Estate Winery,L1C 3K6,905-263-2396,March to June - Thursday to Sunday from 10 - 5; July & August - Daily 10 - 5; September to December - Daily 9 - 6,http://www.archibaldswinery.com,"apples, giftware, preserves, wine",apples,apples,"6275 Liberty St N, Bowmanville, ON L1C 3K6, Canada",6275,Liberty Street North,Bowmanville,Durham Regional Municipality,Ontario,Canada,43.9906439,-78.7158085
Three Roads Farms Ltd.,K9J 6X9,705-295-6580,Monday - Saturday: 9am - 6pm; Sunday: 10am - 6pm,http://www.threeroadsfarms.com,,,,"2415 County Rd 2, Peterborough, ON K9J 6X9, Canada",2415,County Road 2,Peterborough,Peterborough County,Ontario,Canada,44.2241365,-78.2346363
Matz Fruit Barn,,519-583-1688,8am - 7:30pm,http://matzfruitbarn.com,"gourds, pumpkins, squash, vegetables","apples, apricots, cherries, cucumbers, gourds, muskmelons, peaches, pears, peppers, plums, pumpkins, squash, tomatoes, watermelons",,"6 ON-6, Port Dover, ON N0A 1N7, Canada",6,Ontario 6,Port Dover,Norfolk County,Ontario,Canada,42.7861772,-80.1962727
Belluz Farms,P7J 0C2,807-475-5181,July - October. Call for hours 807-475-5181,http://www.belluzfarms.on.ca,"beans, cucumbers, gooseberries, melons, peas, pumpkins, raspberries, squash, strawberries","beans, cucumbers, gooseberries, peas, raspberries, strawberries",Maze,"752 Candy Mountain Dr, Thunder Bay, ON P7C 5N5, Canada",752,Candy Mountain Drive,Thunder Bay,Thunder Bay District,Ontario,Canada,48.3261413,-89.4944884
Bennett's Apples & Cider,L9G 3K9,905-648-6878,Year round. Closed Sundays & some holidays.,http://www.bennettsapples.ca,"apples, cider",pumpkins,pumpkins,"944 Garner Rd E, Ancaster, ON L9G 3K9, Canada",944,Garner Road East,Hamilton,Hamilton Division,Ontario,Canada,43.2082642,-79.9399163
Bickles Orchard Park Farms,N4S 7W1,519-462-2947,"Open Sept to April, Mon - Sat 9-5",,apples,apples,,"596633 Oxford 59, Woodstock, ON N4S 7W1, Canada",596633,Oxford 59,Woodstock,Oxford County,Ontario,Canada,43.1719294,-80.7815434
Blyleven Farms,N0A 1K0,905-774-7391,,,"peppers, tomatoes",,,"1028 Hutchinson Rd, Lowbanks, ON N0A 1K0, Canada",1028,Hutchinson Road,Lowbanks,Haldimand County,Ontario,Canada,42.9184635,-79.5081082
Lincoln Line Orchards,L0R 2A0,905-643-2205,August through June (11 months): Tues. - Fri: 8 am - 6 pm; Sat: 8 am - 5 pm,http://www.lincolnlineorchards.com,"apples, cider, peaches, pears, pies, plums",,,"9764 RR 20, Smithville, ON L0R 2A0, Canada",9764,Regional Road 20,Smithville,Niagara Regional Municipality,Ontario,Canada,43.1455367,-79.707159
