name,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code_prefix,lat,lng
Allison's Farm Market,"10636 8 Line, Halton Hills, ON L7G, Canada",10636,8 Line,Halton Hills,Halton Regional Municipality,Ontario,Canada,L7G,43.6294338,-79.8993055
Andrew's Scenic Acres & Scotch Block Winery,"9365 10 Side Rd, Milton, ON L9T 2X9, Canada",9365,10 Side Road,Milton,Halton Regional Municipality,Ontario,Canada,,43.573699,-79.9340088
Archibald Orchards & Estate Winery,"6275 Liberty St N, Bowmanville, ON L1C 3K6, Canada",6275,Liberty Street North,Bowmanville,Durham Regional Municipality,Ontario,Canada,,43.99064389999999,-78.7158085
Three Roads Farms Ltd.,"2415 County Rd 2, Peterborough, ON K9J 6X9, Canada",2415,County Road 2,Peterborough,Peterborough County,Ontario,Canada,,44.2241365,-78.23463629999999
Matz Fruit Barn,"6 ON-6, Port Dover, ON N0A 1N7, Canada",6,Ontario 6,Port Dover,Norfolk County,Ontario,Canada,,42.7861772,-80.1962727
Belluz Farms,"752 Candy Mountain Dr, Thunder Bay, ON P7C 5N5, Canada",752,Candy Mountain Drive,Thunder Bay,Thunder Bay District,Ontario,Canada,,48.3261413,-89.4944884
Bennett's Apples & Cider,"944 Garner Rd E, Ancaster, ON L9G 3K9, Canada",944,Garner Road East,Hamilton,Hamilton Division,Ontario,Canada,,43.2082642,-79.9399163
Bickles Orchard Park Farms,"596633 Oxford 59, Woodstock, ON N4S 7W1, Canada",596633,Oxford 59,Woodstock,Oxford County,Ontario,Canada,,43.1719294,-80.78154339999999
Blyleven Farms,"1028 Hutchinson Rd, Lowbanks, ON N0A 1K0, Canada",1028,Hutchinson Road,Lowbanks,Haldimand County,Ontario,Canada,,42.9184635,-79.5081082
Lincoln Line Orchards,"9764 RR 20, Smithville, ON L0R 2A0, Canada",9764,Regional Road 20,Smithville,Niagara Regional Municipality,Ontario,Canada,,43.1455367,-79.70715899999999
Brooks Farms,"122 Ashworth Rd, Mount Albert, ON L0G 1M0, Canada",122,Ashworth Road,Mount Albert,,Ontario,Canada,,44.13761,-79.28721519999999
Burnham Family Farm Market,"7760 County 2 Rd, Cobourg, ON K9A 4J7, Canada",7760,County 2 Road,Cobourg,Northumberland County,Ontario,Canada,,43.9665341,-78.22163350000001
Campbell's Orchard,"1633 County Rd 3, Carrying Place, ON K0K 1L0, Canada",1633,County Road 3,Carrying Place,Prince Edward County,Ontario,Canada,,44.11068059999999,-77.4706233
Lakeshore Farms,"475 Main St, Wellington, ON K0K 3L0, Canada",475,Main Street,,Lennox and Addington County,Ontario,Canada,,44.3266668,-76.8780293
Chappell Farms,"617 Penetanguishene Rd, Barrie, ON L4M 4Y8, Canada",617,Penetanguishene Road,Barrie,Simcoe County,Ontario,Canada,,44.4369685,-79.64462309999999
Thames River Melons Ltd.,"765875 Township Rd 5, Innerkip, ON N0J 1M0, Canada",765875,Township Road 5,Innerkip,Oxford County,Ontario,Canada,,43.1911267,-80.684551
Chudleigh's Apple Farm,"9528 Halton Regional Rd 25, Milton, ON L9T 2X7, Canada",9528,Highway 25,Milton,Halton Regional Municipality,Ontario,Canada,,43.5491097,-79.93793939999999
Shearlea AcresFarm Market,"Lynden, Hamilton, ON L0R, Canada",,,Hamilton,Hamilton Division,Ontario,Canada,L0R,43.2296989,-80.144761
T & K Ferri Orchards,"496415 Grey County Rd 2, Clarksburg, ON N0H 1J0, Canada",496415,Grey County Road 2,The Blue Mountains,Grey County,Ontario,Canada,,44.5037466,-80.4251936
Leisure Farms,"744 Quesnel Rd, Sturgeon Falls, ON P2B 2W2, Canada",744,Quesnel Road,West Nipissing,Nipissing District,Ontario,Canada,,46.34678,-79.9614402
Parkside Farms,"519 Parkside Dr, Waterdown, ON L0R 2H1, Canada",519,Parkside Drive,Hamilton,Hamilton Division,Ontario,Canada,,43.3531697,-79.8827524
Harvest Barn of Niagara,"1822 Niagara Stone Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada",1822,Niagara Stone Road,Niagara-on-the-Lake,Niagara Regional Municipality,Ontario,Canada,,43.2331166,-79.11052529999999
Downey's Farm Market,"13682 Heart Lake Rd, Brampton, ON L6Z 0A1, Canada",13682,Heart Lake Road,Brampton,Peel Regional Municipality,Ontario,Canada,,43.7857046,-79.8490209
Ego's Farm Market & Greenhouse,"596 Horseshoe Valley Rd E, Coldwater, ON L0K 1E0, Canada",596,Horseshoe Valley Road East,Coldwater,Simcoe County,Ontario,Canada,,44.5906925,-79.5825593
